run_utc	doc_id	topic_id	topic_label	confidence	matched_terms	source_system	document_type	doc_date	url	title
20260214T040204Z	doc-govinfo-transcript-c9be0e03d017	doj_release_operations	DOJ Release Operations	0.63	department of justice	govinfo_wssearch	congressional_record_transcript	2025-07-17	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
20260214T040204Z	doc-govinfo-transcript-c9be0e03d017	congressional_record_activity	Congressional Record Activity	0.63	senate resolution	govinfo_wssearch	congressional_record_transcript	2025-07-17	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
20260214T040204Z	doc-govinfo-transcript-c9be0e03d017	clemency_and_pardon	Clemency and Pardon	0.63	sense of the senate	govinfo_wssearch	congressional_record_transcript	2025-07-17	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
20260214T040204Z	doc-govinfo-transcript-c9be0e03d017	unsealing_and_access	Unsealing and Access	0.63	release	govinfo_wssearch	congressional_record_transcript	2025-07-17	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
20260214T040204Z	doc-courtlistener-a162b75715cf	court_and_litigation	Court and Litigation	0.63	v.	courtlistener	court_record	2025-07-23	https://www.courtlistener.com/opinion/10639374/giuffre-v-maxwell/	Giuffre v. Maxwell
20260214T040204Z	doc-govinfo-transcript-3a1bb17f6c87	congressional_record_activity	Congressional Record Activity	0.63	executive session	govinfo_wssearch	congressional_record_transcript	2025-07-24	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4687-9.htm	Jeffrey Epstein (Executive Session)
20260214T040204Z	doc-govinfo-transcript-14f372471989	congressional_record_activity	Congressional Record Activity	0.63	senate resolution	govinfo_wssearch	congressional_record_transcript	2025-07-24	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4703.htm	SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE PEOPLE OF THE UNITED STATES BY UNSEALING MATERIALS CONCERNING MR. JEFFREY EPSTEIN
20260214T040204Z	doc-govinfo-transcript-14f372471989	unsealing_and_access	Unsealing and Access	0.63	unseal	govinfo_wssearch	congressional_record_transcript	2025-07-24	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4703.htm	SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE PEOPLE OF THE UNITED STATES BY UNSEALING MATERIALS CONCERNING MR. JEFFREY EPSTEIN
20260214T040204Z	doc-govinfo-transcript-5f5797d2fdf5	congressional_record_activity	Congressional Record Activity	0.63	executive session	govinfo_wssearch	congressional_record_transcript	2025-07-29	https://www.govinfo.gov/content/pkg/CREC-2025-07-29/html/CREC-2025-07-29-pt1-PgS4789.htm	Nomination of Emil J. Bove III (Executive Session)
20260214T040204Z	doc-govinfo-transcript-b86d98d3e693	congressional_record_activity	Congressional Record Activity	0.63	executive session	govinfo_wssearch	congressional_record_transcript	2025-07-30	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4858-2.htm	Jeffrey Epstein (Executive Session)
20260214T040204Z	doc-govinfo-transcript-9f68ddb1066b	congressional_record_activity	Congressional Record Activity	0.63	executive calendar	govinfo_wssearch	congressional_record_transcript	2025-08-02	https://www.govinfo.gov/content/pkg/CREC-2025-08-02/html/CREC-2025-08-02-pt1-PgS5502-3.htm	Jeffrey Epstein (Executive Calendar)
20260214T040204Z	doc-govinfo-transcript-69c3f9d9ce3c	congressional_oversight	Congressional Oversight	0.63	committee	govinfo_wssearch	congressional_record_transcript	2025-09-02	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgD857.htm	Daily Digest/House Committee Meetings
20260214T040204Z	doc-govinfo-transcript-c771c1d91c83	congressional_record_activity	Congressional Record Activity	0.63	public bills and resolutions	govinfo_wssearch	congressional_record_transcript	2025-09-02	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgH3756.htm	PUBLIC BILLS AND RESOLUTIONS
20260214T040204Z	doc-govinfo-transcript-3d4ac810913a	unclassified_epstein_records	Unclassified Epstein Records	0.35	fallback:generic	govinfo_wssearch	congressional_record_transcript	2025-09-03	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3771.htm	PROVIDING FOR CONSIDERATION OF H.R. 4553, ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES APPROPRIATIONS ACT, 2026; PROVIDING FOR CONSIDERATION OF H.J. RES. 104, PROVIDING FOR CONGRESSIONAL...
20260214T040204Z	doc-govinfo-transcript-db958ed50987	congressional_oversight	Congressional Oversight	0.71	oversight, committee	govinfo_wssearch	congressional_record_transcript	2025-09-03	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3780.htm	COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM EPSTEIN INVESTIGATION
20260214T040204Z	doc-govinfo-transcript-07e152ded8cc	unclassified_epstein_records	Unclassified Epstein Records	0.35	fallback:generic	govinfo_wssearch	congressional_record_transcript	2025-09-04	https://www.govinfo.gov/content/pkg/CREC-2025-09-04/html/CREC-2025-09-04-pt1-PgS6334-3.htm	Text of Senate Amendment 3771
20260214T040204Z	doc-govinfo-transcript-cf78b738c498	congressional_oversight	Congressional Oversight	0.63	hearing	govinfo_wssearch	congressional_hearing_transcript	2025-09-09	https://www.govinfo.gov/content/pkg/CHRG-119hhrg61719/html/CHRG-119hhrg61719.htm	Better Meals, Fewer Pills: Making Our Children Healthy Again
20260214T040204Z	doc-govinfo-transcript-b66bdb2e75c0	congressional_record_activity	Congressional Record Activity	0.63	executive session	govinfo_wssearch	congressional_record_transcript	2025-09-09	https://www.govinfo.gov/content/pkg/CREC-2025-09-09/html/CREC-2025-09-09-pt1-PgS6445-2.htm	Jeffrey Epstein (Executive Session)
20260214T040204Z	doc-govinfo-transcript-a611ef03043f	victim_and_survivor_issues	Victim and Survivor Issues	0.63	survivor	govinfo_wssearch	congressional_record_transcript	2025-09-18	https://www.govinfo.gov/content/pkg/CREC-2025-09-18/html/CREC-2025-09-18-pt1-PgH4420-3.htm	A LETTER FROM SURVIVORS OF JEFFREY EPSTEIN AND GHISLAINE MAXWELL
