run_utc	entity_id	entity_type	canonical_name	alias_name	normalized_alias_name	alias_type	resolution_method	similarity	source	source_doc_id	source_url
20260217T090720Z	entity-4a05c0472738a6ce	person	The Hollywood Circle	The Hollywood Circle	the hollywood circle	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-1d223d54ce882794	organization	The Household Staff	The Household Staff	the household staff	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-1d223d54ce882794	organization	The Household Staff	The Household Staff	the household staff	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-f218b4460c3f0316	person	The Journalists	The Journalists	the journalists	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-f218b4460c3f0316	person	The Journalists	The Journalists	the journalists	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-4bf7043840582bf6	person	The Lawyers	The Lawyers	the lawyers	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-4bf7043840582bf6	person	The Lawyers	The Lawyers	the lawyers	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-b402670715e027a9	person	The Legal Crusaders	The Legal Crusaders	the legal crusaders	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-b402670715e027a9	person	The Legal Crusaders	The Legal Crusaders	the legal crusaders	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-0d87c75375c7e8ed	person	Thorbjorn Jagland	Thorbjorn Jagland	thorbjorn jagland	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-0d87c75375c7e8ed	person	Thorbjorn Jagland	Thorbjorn Jagland	thorbjorn jagland	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-768430ab506bd48f	person	Tom Barrack	Tom Barrack	tom barrack	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-768430ab506bd48f	person	Tom Barrack	Tom Barrack	tom barrack	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-cc78f2117c9671a9	person	Tom Pritzker	Tom Pritzker	tom pritzker	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-cc78f2117c9671a9	person	Tom Pritzker	Tom Pritzker	tom pritzker	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-74a98f99f9795091	person	Viral Names	Viral Names	viral names	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-74a98f99f9795091	person	Viral Names	Viral Names	viral names	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-9596e84dc49b2515	person	Virginia Giuffre	Virginia Giuffre	virginia giuffre	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-9596e84dc49b2515	person	Virginia Giuffre	Virginia Giuffre	virginia giuffre	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-48588e921db6809a	organization	White House	White House	white house	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-48588e921db6809a	organization	White House	White House	white house	extracted_variant	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-5d429ce4d4edb06f	person	William Burns	William Burns	william burns	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-5d429ce4d4edb06f	person	William Burns	William Burns	william burns	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-73f760f84bb3574b	person	Zurab Mikeladze	Zurab Mikeladze	zurab mikeladze	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-73f760f84bb3574b	person	Zurab Mikeladze	Zurab Mikeladze	zurab mikeladze	profile_slug	canonical_create	1.00	profiles		
